,hiduke,jikoku_code,power
17303,2019-01-05,24,17352.614489892294
17304,2019-01-05,25,16769.629445449762
17305,2019-01-05,26,16769.629445449762
17306,2019-01-05,27,16479.554753423363
17307,2019-01-05,28,16479.554753423363
17308,2019-01-05,29,16479.554753423363
17309,2019-01-05,30,16479.554753423363
17310,2019-01-05,31,16495.74185605928
17311,2019-01-05,32,16495.74185605928
17312,2019-01-05,33,17460.634809451487
17313,2019-01-05,34,17460.634809451487
17314,2019-01-05,35,18232.218300609937
17315,2019-01-05,36,18232.218300609937
17316,2019-01-05,37,18465.155314218828
17317,2019-01-05,38,18465.155314218828
17318,2019-01-05,39,18655.640213261016
17319,2019-01-05,40,18655.640213261016
17320,2019-01-05,41,18886.54040376558
17321,2019-01-05,42,18785.34543045352
17322,2019-01-05,43,18566.876305509468
17323,2019-01-05,44,18421.85732350575
17324,2019-01-05,45,17578.73320398902
17325,2019-01-05,46,17530.933427568223
17326,2019-01-05,47,16707.00385239394
17327,2019-01-05,48,16707.00385239394
17328,2019-01-06,1,15199.051348602836
17329,2019-01-06,2,15199.051348602836
17330,2019-01-06,3,14606.773828475054
17331,2019-01-06,4,14606.773828475054
17332,2019-01-06,5,14623.610197761825
17333,2019-01-06,6,14623.610197761825
17334,2019-01-06,7,14623.610197761825
17335,2019-01-06,8,14623.610197761825
17336,2019-01-06,9,14627.408895629838
17337,2019-01-06,10,14627.408895629838
17338,2019-01-06,11,14824.141398805194
17339,2019-01-06,12,14824.141398805194
17340,2019-01-06,13,16936.97710037194
17341,2019-01-06,14,17064.184311588655
17342,2019-01-06,15,18410.725619083747
17343,2019-01-06,16,18410.725619083747
17344,2019-01-06,17,19824.211542104225
17345,2019-01-06,18,19824.211542104225
17346,2019-01-06,19,20306.10480976179
17347,2019-01-06,20,20313.073749851435
17348,2019-01-06,21,20426.125616163463
17349,2019-01-06,22,20426.125616163463
17350,2019-01-06,23,20159.656569325856
17351,2019-01-06,24,20159.656569325856
